title,year,duration,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
"Scary Movie 4",2006,83,133000,40.0,45000000,40222875,178262620
"Failure to Launch",2006,97,91000,47.0,50000000,24411322,130224158
"Inside Man",2006,129,411000,76.0,45000000,28954945,186003591
"Open Season",2006,86,110000,49.0,85000000,23624548,200811689
"The Santa Clause 3: The Escape Clause",2006,92,45000,32.0,12000000,19504038,110768122
"Charlotte's Web",2006,97,48000,68.0,85000000,11457353,148964660
"The Pink Panther",2006,93,95000,38.0,80000000,20220412,164115897
"Eight Below",2006,120,70000,64.0,40000000,20188176,120455994
"Saw III",2006,108,220000,48.0,10000000,33610391,164874275
"Nacho Libre",2006,92,97000,52.0,35000000,28309599,99255460
"You, Me and Dupree",2006,110,85000,46.0,54000000,21525560,130628903
"Eragon",2006,104,132000,38.0,100000000,23239907,250425512
"Monster House",2006,91,146000,68.0,75000000,22217226,141861243
"Jackass Number Two",2006,92,81000,66.0,11500000,29002002,84645164
"Barnyard",2006,90,36000,42.0,51000000,15820864,116755080
"RV",2006,99,65000,33.0,50000000,16414767,87528173
"World Trade Center",2006,129,89000,66.0,65000000,18730762,163247198
"Rocky Balboa",2006,102,237000,63.0,24000000,12158168,155929020
"Big Momma's House 2",2006,99,48000,34.0,40000000,27736056,141522961
"Step Up",2006,104,130000,48.0,12000000,20659573,114197742
"Flushed Away",2006,85,144000,74.0,149000000,18814323,178281554
"Deja Vu",2006,126,336000,59.0,75000000,20574802,180557550
"Miami Vice",2006,132,127000,66.0,135000000,25723815,163794509
"Madea's Family Reunion",2006,107,12000,45.0,6000000,30030661,63368939
"The Holiday",2006,136,347000,52.0,85000000,12778913,205219880
"The Fast and the Furious: Tokyo Drift",2006,104,313000,45.0,85000000,23973840,158968749
"Underworld: Evolution",2006,106,213000,36.0,50000000,26857181,111476513
"The Shaggy Dog",2006,98,21000,43.0,50000000,16310058,87134280
"Poseidon",2006,98,113000,50.0,160000000,22155410,181674817
"The Good Shepherd",2006,167,110000,61.0,110000000,9912110,100266865
"Little Miss Sunshine",2006,101,535000,80.0,8000000,370998,101059571
"The Benchwarmers",2006,85,56000,25.0,33000000,19656429,64962629
"Little Man",2006,98,63000,26.0,64000000,21613176,104003322
"Curious George",2006,87,19000,62.0,50000000,14703405,69865924
"Invincible",2006,105,77000,63.0,40000000,17031122,58480828
"Blood Diamond",2006,143,605000,64.0,100000000,8648324,171720398
"The Queen",2006,103,118000,90.0,9800000,122014,124925340
"The Guardian",2006,139,101000,53.0,70000000,18006064,94973540
"The Omen",2006,110,65000,43.0,25000000,16026496,119975084
"Final Destination 3",2006,93,161000,43.0,25000000,20125000,118890272
"The Prestige",2006,130,1500000,66.0,40000000,14801808,109676311
"The Lake House",2006,99,161000,52.0,40000000,13616196,114830111
"Apocalypto",2006,139,343000,68.0,40000000,15005604,120654337
"Firewall",2006,105,60000,45.0,50000000,13635463,82751189
"Date Movie",2006,83,63000,11.0,20000000,19076261,85749034
"When a Stranger Calls",2006,87,50000,27.0,15000000,21607203,67062123
"Silent Hill",2006,125,252000,31.0,50000000,20152598,100605135
"We Are Marshall",2006,131,66000,53.0,65000000,6114264,43545364
"Glory Road",2006,118,50000,58.0,0,13594734,42938449
"Lady in the Water",2006,110,106000,36.0,70000000,18044396,72785169
"The Hills Have Eyes",2006,107,189000,52.0,15000000,15708512,70009308
"John Tucker Must Die",2006,89,90000,41.0,18000000,14276534,68844775
"Stranger Than Fiction",2006,113,240000,67.0,30000000,13411093,53653224
"The Illusionist",2006,110,396000,68.0,16500000,927956,87892388
"The Texas Chainsaw Massacre: The Beginning",2006,91,79000,30.0,16000000,19150000,51764406
"The Grudge 2",2006,102,52000,33.0,20000000,20825300,70711175
"Gridiron Gang",2006,125,82000,52.0,30000000,14414630,41480851
"Last Holiday",2006,112,40000,52.0,45000000,12806188,43451846
"Pan's Labyrinth",2006,118,722000,98.0,19000000,568641,83863565
"The Nativity Story",2006,101,13000,52.0,35000000,8025000,46432264
"The Wild",2006,82,29000,47.0,80000000,9684809,102338515
"Man of the Year",2006,115,36000,39.0,20000000,12299380,42472472
"16 Blocks",2006,102,136000,63.0,52000000,11855260,65664721
"Accepted",2006,93,142000,47.0,23000000,10023835,38623262
"The Sentinel",2006,108,56000,49.0,60000000,14367854,78810595
"Smokin' Aces",2006,108,155000,45.0,17000000,14638755,57232879
"Children of Men",2006,109,546000,84.0,76000000,501003,70596471
"Deck the Halls",2006,93,37000,28.0,51000000,12001256,47232776
"Take the Lead",2006,118,27000,55.0,30000000,12775000,66500090
"Babel",2006,143,323000,69.0,25000000,389351,135330835
"Snakes on a Plane",2006,105,147000,58.0,33000000,13850000,62022014
"She's the Man",2006,105,183000,45.0,20000000,10730372,57194667
"Flags of Our Fathers",2006,135,132000,79.0,90000000,10245190,65900249
"United 93",2006,111,113000,90.0,15000000,11478360,76700659
"Employee of the Month",2006,103,51000,36.0,12000000,11407751,38528984
"Garfield: A Tail of Two Kitties",2006,82,49000,37.0,60000000,7288977,143325970
"The Ant Bully",2006,88,43000,59.0,50000000,8432465,55181129
"Crank",2006,88,270000,57.0,12000000,10457367,42931041
"Stick It",2006,103,31000,53.0,0,10803610,31976848
"Fearless",2006,104,80000,70.0,0,10564000,68072848
"Clerks II",2006,97,143000,65.0,5000000,10061132,26986174
"An Inconvenient Truth",2006,96,86000,75.0,1500000,281330,49782012
"The Wicker Man",2006,102,73000,36.0,40000000,9610204,38806015
"The Covenant",2006,97,54000,19.0,20000000,8852458,37598767
"Stay Alive",2006,85,35000,24.0,7000000,10726406,27298695
"The Black Dahlia",2006,121,78000,49.0,50000000,10005895,49332692
"My Super Ex-Girlfriend",2006,96,68000,50.0,30000000,8603460,61108981
"Lucky Number Slevin",2006,110,332000,53.0,27000000,7031921,56308881
"Waist Deep",2006,97,11000,37.0,0,9452000,21353303
"Amazing Grace",2006,118,26000,65.0,0,4305000,32120360
"ATL",2006,105,13000,63.0,20000000,11554404,21170563
"Flicka",2006,95,8700,57.0,15000000,7703551,21893591
"A Prairie Home Companion",2006,105,24000,75.0,10000000,4566293,25986497
"Pulse",2006,90,32000,29.0,20500000,8203822,29907685
"Beerfest",2006,110,72000,46.0,17500000,7031228,20387597
"Akeelah and the Bee",2006,112,22000,72.0,8000000,6011585,18948425
"The Marine",2006,92,37000,45.0,20000000,7138774,22165608
"Aquamarine",2006,110,47000,51.0,12000000,7482669,22989957
"Ultraviolet",2006,88,85000,18.0,30000000,9064880,31070211
"School for Scoundrels",2006,100,31000,44.0,35000000,8602333,24470583
"The Last King of Scotland",2006,123,200000,74.0,6000000,142899,55758874
"Notes on a Scandal",2006,92,87000,73.0,15000000,414487,49814568
"Just My Luck",2006,103,64000,29.0,28000000,5692285,38159905
"Annapolis",2006,108,22000,37.0,26000000,7681171,17496992
"Unaccompanied Minors",2006,90,13000,43.0,25000000,5815474,21949234
"Black Christmas",2006,95,32000,22.0,9000000,3723364,21510851
"Marie Antoinette",2006,123,127000,64.0,40000000,5361050,60917189
"Larry the Cable Guy: Health Inspector",2006,89,13000,21.0,4000000,6922767,15680099
"Happily N'Ever After",2006,87,11000,28.0,47000000,6608244,38085778
"Catch and Release",2006,124,29000,43.0,25000000,7658898,16162580
"Alpha Dog",2006,122,110000,53.0,0,6412775,32351125
"Arthur and the Invisibles",2006,94,42000,39.0,86000000,0,108605609
"See No Evil",2006,84,30000,17.0,8000000,4581233,18707966
"Tristan + Isolde",2006,125,55000,49.0,0,6583135,28047963
"Everyone's Hero",2006,87,10000,51.0,35000000,6061762,16627188
"Hollywoodland",2006,126,37000,62.0,28000000,6008000,16800438
"Letters from Iwo Jima",2006,141,173000,89.0,19000000,89097,68673228
"The Namesake",2006,122,22000,82.0,9500000,248552,20354321
"One Night with the King",2006,123,8000,38.0,20000000,4326000,13728450
"Friends with Money",2006,88,33000,68.0,6500000,637000,18245244
"Flyboys",2006,140,45000,47.0,60000000,6004219,17858059
"How to Eat Fried Worms",2006,84,6200,56.0,26000000,3950000,13098996
"Volver",2006,121,110000,84.0,7450000,202000,85605851
"Bon Cop Bad Cop",2006,117,13000,0,8000000,1433259,12735126
"Idlewild",2006,121,5900,55.0,15000000,5745780,12643027
"Freedomland",2006,113,17000,43.0,37665000,5833562,14655628
"Zoom",2006,83,23000,26.0,35000000,4510408,12506362
"The Last Kiss",2006,104,42000,57.0,20000000,4627989,15852401
"Something New",2006,99,15000,64.0,0,5016000,11483669
"Material Girls",2006,98,23000,17.0,0,4603121,16925277
"The Lives of Others",2006,137,426000,89.0,2000000,223000,77672685
"Bobby",2006,117,43000,54.0,14000000,69039,20718608
"The Astronaut Farmer",2006,104,24000,55.0,13000000,4454319,11130889
"Scoop",2006,96,89000,48.0,17300000,3003000,39220946
"Facing the Giants",2006,111,19000,38.0,100000,1389000,10307987
"The Fountain",2006,97,253000,51.0,35000000,3768702,16468343
"Penelope",2006,104,68000,48.0,15000000,3802144,21156270
"Once",2006,86,123000,90.0,150000,61901,22312089
"Black Snake Moan",2006,116,68000,52.0,15000000,4143199,10907485
"Tenacious D in the Pick of Destiny",2006,94,117000,55.0,20000000,3110000,13939963
"Hoot",2006,91,9000,46.0,15000000,3400000,8224998
"Bella",2006,91,11000,47.0,3300000,1328448,12083296
"The Painted Veil",2006,125,98000,69.0,19400000,51086,26910847
"The Night Listener",2006,91,16000,51.0,4000000,3600000,10639686
"Slither",2006,95,92000,69.0,15000000,3880270,12834936
"El cantante",2006,106,5400,46.0,0,3202035,8057636
"A Good Year",2006,117,104000,47.0,35000000,3721526,42269923
"Doogal",2006,78,5600,23.0,20000000,3605899,27450189
"All the King's Men",2006,128,26000,37.0,55000000,3672366,9451623
"American Dreamz",2006,107,25000,45.0,17000000,3667420,16656103
"The Hoax",2006,116,17000,70.0,25000000,1501000,11772461
"Phat Girlz",2006,99,9500,36.0,3000000,3109924,7403491
"Turistas",2006,93,42000,36.0,10000000,3582554,14756513
"Bug",2006,102,39000,62.0,4000000,3245556,8095931
"Running with Scissors",2006,116,23000,52.0,12000000,226108,7460797
"Crossover",2006,95,9500,30.0,5800000,3767567,7009668
"Running Scared",2006,122,105000,41.0,15000000,3075000,9380029
"Curse of the Golden Flower",2006,114,47000,70.0,45000000,184000,78568977
"Tell No One",2006,131,59000,82.0,11700000,169707,33428799
"Grandma's Boy",2006,94,91000,33.0,0,3009341,6566277
"Basic Instinct 2",2006,114,43000,26.0,70000000,3201420,38629478
"For Your Consideration",2006,86,17000,68.0,12000000,372012,5925637
"A Scanner Darkly",2006,100,120000,73.0,8700000,391672,7660592
"Rescue Dawn",2006,125,113000,77.0,10000000,110326,7177143
"Little Children",2006,137,119000,75.0,26000000,97953,14821658
"Paris, Je T'aime",2006,120,75000,66.0,13000000,39242,17489601
"The Science of Sleep",2006,105,71000,70.0,6000000,347925,15116179
"Let's Go to Prison",2006,84,27000,27.0,0,2220050,4630045
"Away from Her",2006,110,23000,88.0,4000000,114628,9194283
"Black Book",2006,145,82000,71.0,21000000,112521,26768563
"Keeping Up with the Steins",2006,90,3300,57.0,0,621000,4409374
"Van Wilder: The Rise of Taj",2006,97,24000,21.0,0,2313372,6086508
"Catch a Fire",2006,101,11000,62.0,14000000,2012000,5710236
"Peaceful Warrior",2006,120,31000,40.0,10000000,80602,4326927
"Trailer Park Boys: The Movie",2006,95,14000,38.0,5000000,1200000,3876456
"The Ultimate Gift",2006,114,22000,49.0,0,1200000,3438735
"Venus",2006,95,14000,82.0,3000000,35604,7321309
"Art School Confidential",2006,102,18000,54.0,0,135733,3306629
"Kabhi Alvida Naa Kehna",2006,193,23000,0,700000000,1351786,25229168
"Wordplay",2006,94,3800,73.0,0,32847,3177636
"The Ex",2006,89,18000,32.0,0,1394229,5178640
"Miss Potter",2006,88,33000,57.0,30000000,9653,35078241
"The History Boys",2006,109,22000,74.0,2000000,100803,13407101
"Half Nelson",2006,106,94000,85.0,700000,53983,4660481
"Dhoom 2",2006,152,31000,0,350000000,979001,32396427
"The Fall",2006,117,122000,64.0,30000000,79611,3984135
"A Family Secret",2006,86,258,0,5450000,0,2448569
"Don",2006,171,42000,0,0,804388,19640129
"Perfume: The Story of a Murderer",2006,147,272000,56.0,60000000,37079,135039924
"Lage Raho Munna Bhai",2006,144,52000,0,120000000,863073,17897527
"The Host",2006,120,138000,85.0,12215500000,320000,89433506
"Rang De Basanti",2006,167,124000,0,0,701666,10800778
"Priceless",2006,106,34000,72.0,11700000,116308,28041861
"Fanaa",2006,168,36000,0,5300000,753067,22181516
"Orchestra Seats",2006,106,4500,64.0,8000000,29377,17690533
"Shortbus",2006,101,36000,64.0,2000000,107907,5557564
"The Valet",2006,85,11000,68.0,25320000,67552,29414553
"Neil Young: Heart of Gold",2006,103,3300,85.0,0,53908,2201933
"The Wind that Shakes the Barley",2006,127,57000,82.0,0,135554,22903165
"Quinceañera",2006,90,4400,72.0,400000,95400,2522787
"Who Killed the Electric Car?",2006,92,13000,70.0,1000000,45138,1764304
"Factory Girl",2006,90,23000,45.0,7000000,0,3572632
"The Abandoned",2006,99,13000,42.0,3000000,2482000,4529892
"After the Wedding",2006,120,38000,78.0,0,47311,11632723
"Krrish",2006,154,25000,68.0,10200000,370266,18041250
"Mon meilleur ami",2006,90,7000,65.0,0,45246,14687738
"Romeo and Juliet",2006,105,320,0,0,356907,1386582
"The Work and the Glory III: A House Divided",2006,89,512,0,6500000,200347,1325092
"The Good German",2006,105,26000,49.0,32000000,76817,5914908
"Omkara",2006,155,23000,0,0,427400,16466144
"The Wedding Weekend",2006,96,707,39.0,1000000,50103,2078545
"Find Me Guilty",2006,125,37000,65.0,13000000,628000,2636637
"Infamous",2006,110,19000,68.0,13000000,452966,2689799
"Inland Empire",2006,180,66000,73.0,0,27508,4306729
"The U.S. vs. John Lennon",2006,99,5700,64.0,0,69143,1408065
"The Heart Specialist",2006,99,636,0,0,473062,1103037
"Golden Door",2006,118,5300,74.0,10000000,27744,7228273
"Skinwalkers",2006,110,14000,33.0,0,565000,3269736
"Thr3e",2006,101,4800,34.0,2400000,740000,1420418
"Fast Food Nation",2006,116,26000,64.0,0,410804,2209322
"Goya's Ghosts",2006,113,32000,52.0,50000000,159671,9448082
"Breaking and Entering",2006,120,24000,56.0,0,0,8974829
"Jesus Camp",2006,87,29000,62.0,0,17659,1013596
"Paprika",2006,90,104000,81.0,300000000,35593,961196
"Sharkwater",2006,89,5100,59.0,0,37140,1658393
"Guadalupe: El Milagro Y El Mensaje",2006,90,132,0,1490641,301333,1499149
"The Call of Wild",2006,90,2000,64.0,0,22607,1864636
"The Year My Parents Went on Vacation",2006,110,6800,67.0,3000000,80655,3218370
"Bhagam Bhag",2006,157,16000,0,0,252988,14730896
"Provoked",2006,113,2300,39.0,1598870,30000,3135419
"Ask the Dust",2006,117,10000,58.0,0,68779,2460057
"Lady Chatterley",2006,168,4900,80.0,0,32814,3200383
"Stormbreaker",2006,93,26000,42.0,40000000,0,23937870
"Another Gay Movie",2006,92,9700,37.0,500000,33316,745327
"Jaan-E-Mann: Let's Fall in Love... Again",2006,165,9400,40.0,2000000,210000,1656433
"Journey from the Fall",2006,135,951,70.0,1300000,83397,655927
"I Served the King of England",2006,113,8400,72.0,84450000,53218,7354478
"The Celestine Prophecy",2006,99,4100,23.0,10000000,25297,1127463
"Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland",2006,100,1700,51.0,0,464170,603894
"Reprise",2006,105,16000,79.0,22000000,49060,1297260
"Death of a President",2006,97,7100,49.0,2000000,281778,869352
"A Guide to Recognizing Your Saints",2006,100,27000,67.0,0,94784,2035468
"Bonneville",2006,93,2900,46.0,0,174571,1338570
"Umrao Jaan",2006,188,2100,0,0,485000,1371723
"DOA: Dead or Alive",2006,87,47000,38.0,21000000,260713,7563325
"Beer League",2006,86,8700,40.0,2800000,302908,472185
"Church Ball",2006,91,529,0,1000000,144376,464991
"The Second Chance",2006,102,1400,52.0,1200000,200554,463542
"Day Watch",2006,132,36000,59.0,4200000,46730,42918532
"Wristcutters: A Love Story",2006,88,59000,62.0,1000000,42808,454026
"Idiocracy",2006,84,198000,66.0,2400000,124367,495652
"When the Road Bends... Tales of a Gypsy Caravan",2006,110,496,73.0,0,379,469507
"The Singing Revolution",2006,94,644,0,0,2475,426855
"Conversations with God",2006,109,2600,35.0,0,150355,1034317
"The Oh in Ohio",2006,88,6600,48.0,5000000,61043,648183
"Seraphim Falls",2006,115,36000,62.0,18000000,155560,1220058
"Jindabyne",2006,123,7200,65.0,15000000,28298,6044112
"Copying Beethoven",2006,104,14000,59.0,11000000,70460,6191746
"Chup Chup Ke",2006,164,14000,0,0,110218,3912699
"This Is England",2006,101,132000,86.0,1500000,18430,8481254
"The Road to Guantanamo",2006,95,12000,64.0,1500000,61138,1513033
"The Gravedancers",2006,95,10000,0,0,2482000,478535
"Dark Ride",2006,94,6900,0,0,2482000,321875
"The Hamiltons",2006,86,9100,0,0,2482000,321875
"Wicked Little Things",2006,94,8900,0,0,2482000,392287
"Unrest",2006,88,8400,0,2500000,2482000,2795983
"Penny Dreadful",2006,92,6700,0,0,2482000,394447
"Days of Glory",2006,120,15000,82.0,14500000,10996,22963701
"Steve Harvey: Don't Trip... He Ain't Through with Me Yet",2006,90,213,59.0,0,164926,319021
"This Film Is Not Yet Rated",2006,98,29000,75.0,0,30664,347240
"Fido",2006,93,31000,70.0,8000000,10203,426224
"OSS 117: Cairo, Nest of Spies",2006,99,24000,62.0,14000000,31418,23055884
"Chalk",2006,85,1400,70.0,10000,6913,302845
"Kabul Express",2006,105,3800,0,0,142591,5091289
"God Grew Tired of Us",2006,89,2900,72.0,0,21858,301447
"Sukob",2006,110,748,0,0,31626,300454
"Taxi No. 9 2 11: Nau Do Gyarah",2006,116,11000,0,0,102466,292794
"Ten Canoes",2006,90,5200,82.0,2200000,14076,3360455
"American Hardcore",2006,100,3700,69.0,0,18102,376057
"Southland Tales",2006,145,41000,44.0,17000000,117000,374755
"Deep Water",2006,92,3400,80.0,0,22632,742576
"Night of the Living Dead 3D",2006,80,4000,32.0,750000,215300,1657729
"The TV Set",2006,88,6100,65.0,0,34531,265198
"Brand Upon the Brain!",2006,95,3800,79.0,0,46412,298982
"Old Joy",2006,76,9200,84.0,30000,3310,301440
"The War Tapes",2006,97,1300,77.0,0,12268,254190
"Love's Abiding Joy",2006,87,2100,0,3000000,145895,252726
"Broken Bridges",2006,105,1900,32.0,0,133784,252539
"Humko Deewana Kar Gaye",2006,155,4500,0,0,108630,1149417
"Manufactured Landscapes",2006,86,3100,79.0,0,9129,349220
"Driving Lessons",2006,98,11000,56.0,0,22603,1297553
"O Jerusalem",2006,100,1000,39.0,24000000,31165,2724303
"The Foot Fist Way",2006,85,14000,63.0,0,36391,245292
"Confetti",2006,100,5400,57.0,0,20560,4903131
"Sixty Six",2006,93,3200,57.0,0,9359,1930133
"10 Questions for the Dalai Lama",2006,85,769,0,100000,0,484487
"Unidentified",2006,85,739,0,400000,15915,224099
"Fur: An Imaginary Portrait of Diane Arbus",2006,122,17000,50.0,16800000,28815,2312717
"Shaadi Karke Phas Gaya Yaar",2006,152,1500,0,0,142462,4423137
"Ira & Abby",2006,104,2400,62.0,3500000,36938,563611
"Boy Culture",2006,88,6000,56.0,500000,27835,269589
"Starter for 10",2006,92,26000,69.0,0,37141,1736394
"First Snow",2006,101,8800,58.0,8000000,15189,573864
"The Page Turner",2006,85,7500,67.0,0,18844,9284852
"Believe in Me",2006,131,1100,0,0,81569,209654
"The Journals of Knud Rasmussen",2006,112,394,0,0,50823,209478
"A Man Named Pearl",2006,78,353,63.0,0,8378,208392
"Malamaal Weekly",2006,137,8500,0,0,75556,5946304
"Iraq in Fragments",2006,94,1700,84.0,0,24435,240888
"Deliver Us from Evil",2006,101,11000,86.0,0,15656,327205
"Sherrybaby",2006,96,12000,66.0,2000000,34774,622806
"I Want Someone to Eat Cheese With",2006,80,3700,60.0,1500000,12317,194568
"Lonely Hearts",2006,108,23000,60.0,18000000,80423,2520835
"Vitus",2006,123,5300,63.0,2500000,5722,6079556
"Offside",2006,93,8800,85.0,2500,18003,561692
"The Bridge",2006,94,12000,58.0,25000,49313,205724
"An Unreasonable Man",2006,122,1800,75.0,0,9813,176647
"Hatchet",2006,93,35000,57.0,1500000,100358,208550
"The Flying Scotsman",2006,96,5900,49.0,0,78337,1260553
"Hollywood Dreams",2006,100,264,52.0,0,3960,171255
"La faute à Fidel!",2006,99,5300,74.0,0,9004,1360243
"Holly",2006,114,950,51.0,3000000,32406,166620
"Outsourced",2006,103,12000,70.0,0,32227,703324
"Awesome; I Shot That!",2006,90,1000,68.0,0,18074,177683
"Vanaja",2006,111,565,0,0,8770,161590
"The Bubble",2006,117,5800,61.0,1500000,38882,1029926
"Red Road",2006,113,14000,73.0,0,17009,1128345
"The Unknown Woman",2006,118,16000,56.0,8000000,5701,6881566
"Milarepa",2006,90,1100,52.0,1800000,8330,252154
"Pyare Mohan",2006,130,1000,0,0,78462,241841
"Cocaine Cowboys",2006,118,14000,59.0,0,36295,167078
"Only the Brave",2006,99,945,0,3300000,14825,150000
"Jonestown: The Life and Death of Peoples Temple",2006,86,5700,79.0,0,7482,148292
"Once in a Lifetime: The Extraordinary Story of the New York Cosmos",2006,97,1600,67.0,1000000,9805,213762
"Memories of Tomorrow",2006,122,942,68.0,0,1524,17696020
"What the Bleep!?: Down the Rabbit Hole",2006,156,3000,45.0,0,24195,138913
"Severance",2006,96,42000,62.0,5000000,8316,5515163
"Private Fears in Public Places",2006,120,4200,77.0,12800000,14391,6855294
"The Groomsmen",2006,98,4900,57.0,3000000,26046,818970
"Fay Grim",2006,118,5000,52.0,0,61817,193067
"Flannel Pajamas",2006,124,966,49.0,0,11069,123301
"Climates",2006,98,15000,72.0,0,9665,1385085
"Come Early Morning",2006,97,2900,64.0,6000000,50160,161408
"Valley of the Heart's Delight",2006,100,166,0,2500000,5164,119290
"Bamako (The Court)",2006,115,1500,81.0,2000000,10183,1059232
"Shaadi Se Pehle",2006,122,891,0,0,60719,331676
"Al Franken: God Spoke",2006,90,538,49.0,1000000,10533,102990
"Islander",2006,100,305,0,0,8871,102737
"Return with Honor: A Missionary Homecoming",2006,105,237,0,300000,30830,102171
"Klimt",2006,131,3400,44.0,0,2332,584991
"Mulberry St",2006,84,6500,0,60000,512000,97182
"Nightmare Man",2006,89,2500,46.0,250000,512000,97182
"Civic Duty",2006,98,3500,48.0,3400000,54902,108187
"Black Gold",2006,78,908,69.0,0,6764,227105
"12:08 East of Bucharest",2006,89,8300,77.0,200000,11586,523703
"Blind Dating",2006,95,13000,0,0,61877,945718
"Fireworks Wednesday",2006,102,14000,84.0,0,6132,119881
"Puccini for Beginners",2006,82,2500,54.0,0,13380,110864
"Blindsight",2006,104,712,72.0,105000,5279,366247
"Tuya's Marriage",2006,86,2500,71.0,0,2619,2476766
"Little Chenier",2006,120,613,0,1800000,37318,87939
"America: Freedom to Fascism",2006,95,2600,43.0,1000000,61200,87400
"Kurt Cobain About a Son",2006,96,3900,69.0,0,10749,126432
"Delirious",2006,107,7100,68.0,5000000,19030,659589
"Color of the Cross",2006,108,384,34.0,2500000,25868,85802
"Black Sheep",2006,87,43000,62.0,0,16102,4947717
"The Treatment",2006,86,1200,54.0,900000,14196,83354
"10 Items or Less",2006,82,17000,54.0,0,35929,1399222
"Comedy of Power",2006,110,3100,64.0,0,10061,8987781
"Radiant City",2006,93,505,60.0,0,0,78944
"Still Life",2006,111,7600,81.0,10000000,12744,2504465
"Samoan Wedding",2006,97,1700,58.0,2000000,15704,2993332
"Eye of the Dolphin",2006,102,1000,54.0,2500000,37924,72310
"Gray Matters",2006,96,7400,31.0,0,25714,944479
"Air Guitar Nation",2006,81,1400,72.0,0,7035,79770
"Renaissance",2006,105,17000,57.0,18000000,10800,1831348
"Kenny",2006,99,7500,0,0,3857,6732176
"Behind the Mask: The Rise of Leslie Vernon",2006,92,26000,66.0,0,38500,69136
"Unconscious",2006,84,78,0,250000,807,72275
"Diggers",2006,96,3100,66.0,0,32867,66517
"Absolute Wilson",2006,105,149,69.0,0,6879,98730
"My Brother",2006,100,367,33.0,0,28613,235177
"Right at Your Door",2006,96,15000,57.0,0,32452,2123040
"Even Money",2006,113,4900,34.0,0,22465,111974
"D' Lucky Ones!",2006,106,101,0,5000000,31820,64352
"Dans Paris",2006,89,4300,60.0,1500000,12231,1810452
"Summer Palace",2006,158,4600,79.0,2500000,8717,143027
"Nue propriété",2006,95,1800,78.0,0,15086,545473
"Vajra Sky Over Tibet",2006,89,68,61.0,0,4471,62356
"Love and Honor",2006,122,4400,0,0,5234,33755574
"Maxed Out",2006,90,2200,65.0,0,20024,58829
"Election 2",2006,93,7200,83.0,0,10811,1836534
"Anthony Kaun Hai?",2006,127,710,0,0,55418,88420
"10th & Wolf",2006,107,7200,36.0,8000000,20774,143451
"Kalamazoo?",2006,107,145,0,2000000,22074,53609
"Mannat",2006,165,136,0,0,33911,80119
"Close to You",2006,110,156,0,0,7612,52654
"Dynamite Warrior",2006,103,1700,48.0,0,1082,483737
"Dare Not Walk Alone",2006,83,118,0,120000,9259,52166
"Screamers",2006,91,1600,55.0,1000000,23609,52034
"Exiled",2006,110,9900,73.0,35000000,15502,1230135
"Home of the Brave",2006,106,11000,42.0,12000000,6000,499620
"The Boss of It All",2006,99,13000,71.0,3000000,7855,3111395
"Them",2006,77,33000,60.0,0,4025,5822116
"Transformation: The Life and Legacy of Werner Erhard",2006,62,108,0,300000,25460,49919
"Mini's First Time",2006,91,8900,45.0,6000000,21828,156318
"The Situation",2006,111,905,45.0,1000000,7187,48896
"Ghosts of Cité Soleil",2006,85,1900,64.0,0,7100,218444
"Tales from Earthsea",2006,115,46000,47.0,0,20614,68673762
"Two Weeks",2006,102,2400,44.0,2400000,0,47986
"The Hip Hop Project",2006,88,287,66.0,0,32520,46208
"Candy",2006,108,49000,57.0,0,3646,2105096
"Undoing",2006,90,237,0,325000,16065,44999
"Grbavica",2006,90,7000,71.0,0,4977,848073
"Colma: The Musical",2006,100,505,0,0,8403,41131
"Rape of the Soul",2006,140,161,0,0,15602,39975
"Sea of Dreams",2006,99,392,0,0,39200,1378139
"The Life of Reilly",2006,84,363,72.0,0,2798,38960
"The Cats of Mirikitani",2006,74,754,73.0,0,5160,48483
"Family Law",2006,102,1600,66.0,0,5384,1062915
"Eating Out 2: Sloppy Seconds",2006,79,4200,39.0,0,4394,37072
"Monkey Warfare",2006,75,565,0,30000,1366,36875
"Paper Dolls",2006,80,194,72.0,0,7870,36577
"Been Rich All My Life",2006,81,103,67.0,0,8252,36406
"Fighting Words",2006,87,299,0,2500000,9753,35688
"Canvas",2006,101,1100,67.0,1050100,13100,41010
"Can Mr. Smith Get to Washington Anymore?",2006,82,249,0,0,6742,35397
"My Country, My Country",2006,90,424,0,0,3546,33620
"The Last Winter",2006,101,10000,69.0,5000000,8090,97522
"Falling for Grace",2006,105,769,0,0,3614,33060
"Local Color",2006,107,1800,0,3000000,7183,32788
"Sacco and Vanzetti",2006,80,334,70.0,0,2778,32203
"Day Night Day Night",2006,94,2300,61.0,0,5457,40010
"Forever",2006,95,349,0,100000,5202,31502
"The Hottest State",2006,117,2900,45.0,0,8545,137341
"Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?)",2010,116,1900,68.0,0,6078,30975
"Shanghai Red",2006,104,120,0,0,3008,252109
"Pyaar Ke Side Effects",2006,132,3300,0,45000000,22800,60714
"Broken Sky",2006,140,1200,35.0,0,4956,160445
"Who Gets to Call It Art?",2006,78,151,70.0,0,7520,27344
"Gringo Wedding",2006,105,78,0,5000000,15000,26946
"Abduction: The Megumi Yokota Story",2006,85,207,72.0,0,5034,26859
"Snow Cake",2006,112,14000,54.0,3000000,5030,1384105
