title,year,duration,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
"Alfie",1966,114,16000,70.0,800000,0,0
"The Russians Are Coming the Russians Are Coming",1966,126,11000,69.0,3900000,0,0
"Modesty Blaise",1966,119,3300,0,1000000,0,170
"Torn Curtain",1966,128,31000,55.0,6000000,0,613
"The Group",1966,150,2200,0,2400000,0,90
"Arabesque",1966,105,8500,69.0,4800000,0,0
"Cul-de-sac",1966,112,14000,75.0,0,0,1500
"Eye of the Devil",1966,96,3400,0,3000000,0,4966
"You're a Big Boy Now",1966,96,2100,71.0,800000,0,0
"Daleks' Invasion Earth 2150 A.D.",1966,84,4700,0,286000,0,115
"Beau Geste",1966,103,792,51.0,2500000,0,0
"They're a Weird Mob",1966,112,1200,0,600000,0,437
"E.T. the Extra-Terrestrial",1982,115,452000,92.0,10500000,11835389,797307407
"Tootsie",1982,116,118000,88.0,21000000,5540470,177200285
"An Officer and a Gentleman",1982,124,65000,75.0,7500000,3304679,129795890
"Rocky III",1982,99,219000,57.0,17000000,12431486,125052898
"Star Trek II: The Wrath of Khan",1982,113,132000,68.0,11200000,14347221,79822604
"48 Hrs.",1982,96,89000,71.0,12000000,4369868,78868669
"Poltergeist",1982,114,187000,79.0,10700000,6896612,77233131
"The Best Little Whorehouse in Texas",1982,114,14000,40.0,35000000,11874268,69701637
"Annie",1982,127,51000,39.0,50000000,510632,57063861
"The Verdict",1982,129,48000,77.0,16000000,100982,53993738
"Gandhi",1982,191,243000,79.0,22000000,131153,52768419
"First Blood",1982,93,288000,61.0,15000000,6642005,125212904
"The Toy",1982,102,15000,16.0,17000000,6322804,47118057
"Firefox",1982,136,30000,44.0,21000000,8152948,46708276
"The Dark Crystal",1982,93,74000,66.0,15000000,4657335,44625778
"Conan the Barbarian",1982,129,168000,43.0,20000000,9603139,68851475
"The Sword and the Sorcerer",1982,99,8100,39.0,0,1798879,39103425
"Best Friends",1982,116,3400,70.0,15000000,4022891,36821203
"Friday the 13th: Part 3",1982,95,64000,30.0,2300000,9406522,36696671
"Richard Pryor: Live on the Sunset Strip",1982,82,4600,0,0,7780693,36299720
"Tron",1982,96,133000,58.0,17000000,4761795,33002371
"Blade Runner",1982,117,850000,84.0,28000000,6150002,41759489
"Young Doctors in Love",1982,96,3600,0,7500000,4206265,30688860
"Sophie's Choice",1982,150,55000,68.0,12000000,202131,30036166
"The World According to Garp",1982,136,30000,63.0,17000000,2902088,29712172
"Victor/Victoria",1982,134,25000,84.0,0,139634,28229440
"Airplane II: The Sequel",1982,85,59000,48.0,15000000,5329208,27150534
"Fast Times at Ridgemont High",1982,90,120000,61.0,4500000,2545674,27093151
"Some Kind of Hero",1982,97,1800,68.0,0,5631293,23671186
"Pink Floyd: The Wall",1982,95,88000,47.0,12000000,0,22274148
"Things Are Tough All Over",1982,90,3800,40.0,7000000,5906708,21134374
"Night Shift",1982,106,19000,63.0,8100000,2539633,21095638
"Creepshow",1982,120,55000,59.0,8000000,5870889,21031312
"The Man from Snowy River",1982,102,10000,63.0,3500000,694126,20708426
"Six Pack",1982,108,3500,45.0,0,1946418,20225989
"My Favorite Year",1982,92,11000,62.0,7900000,2400696,20123620
"The Thing",1982,109,494000,57.0,15000000,3107897,20836881
"Deathtrap",1982,116,17000,54.0,10000000,2238977,19282134
"Dead Men Don't Wear Plaid",1982,88,24000,67.0,9000000,4289601,18196170
"Zapped!",1982,98,8200,10.0,0,823548,16897768
"They Call Me Bruce",1982,87,1900,0,0,1071345,16894678
"Death Wish II",1982,89,19000,11.0,2000000,0,16100000
"Kiss Me Goodbye",1982,101,2500,0,0,1345672,15782759
"Grease 2",1982,115,40000,52.0,13200000,4645411,15172313
"The Secret of NIMH",1982,82,47000,76.0,7000000,386530,14665733
"Halloween III: Season of the Witch",1982,98,64000,50.0,2500000,6333259,14400000
"Diner",1982,110,23000,82.0,5000000,0,14099953
"The Beastmaster",1982,118,26000,18.0,8000000,2955641,14056528
"Missing",1982,122,24000,78.0,9500000,0,14000000
"The Entity",1982,125,19000,35.0,9000000,3685654,13277558
"Visiting Hours",1982,103,5100,0,5500000,5250157,13258670
"Vice Squad",1982,97,3200,0,5500000,0,13253583
"Author! Author!",1982,110,5900,42.0,0,2279260,13111101
"Amityville II: The Possession",1982,104,14000,34.0,5000000,4104277,12534817
"Monsignor",1982,121,1000,0,0,3631834,12408066
"Making Love",1982,113,3100,0,0,3015497,11897978
"The Seduction",1982,104,1600,20.0,2000000,0,11378339
"The House on Sorority Row",1982,91,11000,50.0,425000,617661,10604986
"Silent Rage",1982,103,7100,31.0,4500000,3693117,10490791
"The Year of Living Dangerously",1982,115,24000,65.0,13000000,35000,10278575
"Class Reunion",1982,84,2500,0,0,3086525,10054150
"Hanky Panky",1982,110,3300,0,14000000,3597244,9823934
"Shoot the Moon",1982,124,3100,68.0,12000000,0,9217530
"A Midsummer Night's Sex Comedy",1982,88,21000,51.0,0,2514478,9077269
"Trail of the Pink Panther",1982,96,12000,43.0,6000000,1341695,9056073
"If You Could See What I Hear",1982,103,968,0,5600000,2408000,8693512
"Night Crossing",1982,107,1600,0,10000000,1547912,8000000
"The Pirate Movie",1982,98,5000,19.0,0,2528133,7983086
"The Beast Within",1982,98,4900,42.0,0,1250000,7742572
"Tex",1982,103,2600,78.0,0,0,7400000
"The Missionary",1982,90,2800,0,0,1864852,7241180
"Cat People",1982,118,25000,61.0,18000000,1617636,7000000
"I Ought to Be in Pictures",1982,108,1100,0,10500000,2170397,6968359
"Fanny and Alexander",1982,188,69000,100.0,6000000,0,6813882
"Six Weeks",1982,107,1100,0,9000000,978541,6668025
"Forced Vengeance",1982,90,3600,0,5000000,0,6660333
"The Last Unicorn",1982,92,31000,70.0,3500000,2250000,6457117
"The Soldier",1982,88,1600,0,4000000,0,6328816
"The Border",1982,108,7300,66.0,13500000,516014,6118683
"Evil Under the Sun",1982,117,22000,61.0,10000000,1690774,6110804
"Partners",1982,93,1600,0,6000000,2318801,6062898
"Still of the Night",1982,93,6800,43.0,10000000,0,5979947
"The Last American Virgin",1982,92,10000,43.0,0,0,5829781
"Megaforce",1982,99,4400,18.0,20000000,2350021,5675599
"Personal Best",1982,128,3400,71.0,16000000,0,5672311
"Paradise",1982,102,3100,20.0,3500000,2815503,5588800
"The Grey Fox",1982,92,2700,0,4500000,0,5516140
"Cannery Row",1982,120,4200,52.0,11300000,1500000,5301539
"Heidi's Song",1982,94,357,0,0,1416713,5124391
"Vigilante",1982,90,4900,0,2000000,1588464,5091888
"Tempest",1982,140,2900,40.0,13000000,80492,5005245
"Honkytonk Man",1982,122,9800,50.0,2000000,667727,4484991
"Mortuary",1982,93,3200,0,250000,763184,4319001
"Let's Spend the Night Together",1982,95,809,51.0,0,1319050,3821199
"Jekyll and Hyde... Together Again",1982,87,1500,0,5000000,819476,3792188
"The Return of Martin Guerre",1982,112,5000,0,0,8682,3723036
"Wrong Is Right",1982,117,2400,50.0,10000000,1412646,3583513
"Fighting Back",1982,98,884,0,0,1624381,3355948
"Penitentiary II",1982,108,831,0,0,662896,3178542
"Homework",1982,90,497,0,0,1366535,2914328
"Jinxed!",1982,103,1300,0,13400000,1209311,2869638
"The Final Option",1982,125,3900,0,6000000,750259,2666873
"It Came from Hollywood",1982,80,1100,0,2000000,1095003,2573342
"The King of Comedy",1982,109,125000,73.0,20000000,137624,2537298
"A Stranger Is Watching",1982,92,953,0,3200000,0,2519559
"A Little Sex",1982,95,627,0,6000000,1030070,2370376
"Yes, Giorgio",1982,110,833,0,19000000,0,2279543
"The Night of the Shooting Stars",1982,107,4800,0,0,4414,2257307
"The Draughtsman's Contract",1982,108,12000,0,320000,0,2283233
"Pieces",1982,85,14000,68.0,300000,604510,2032311
"Barbarosa",1982,90,2200,78.0,11000000,285312,1736123
"Koyaanisqatsi",1982,86,43000,72.0,0,0,1728699
"Endangered Species",1982,97,1300,0,7000000,0,1474249
"Turkey Shoot",1982,80,4500,0,2500000,0,1414828
"Losin' It",1982,100,5500,51.0,7000000,437257,1246141
"The Sender",1982,91,2400,0,0,434884,1054328
"Lookin' to Get Out",1982,105,939,44.0,17000000,528559,946461
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",1982,109,5400,0,850000,0,840958
"Split Image",1982,110,1200,57.0,8000000,0,263635
"Five Days One Summer",1982,108,1400,46.0,17000000,43891,199078
"The Escape Artist",1982,94,922,58.0,0,23323,143369
"Bugs Bunny's 3rd Movie: 1001 Rabbit Tales",1982,74,2300,0,0,78350,78350
"White Dog",1982,90,11000,0,8000000,0,46509
"The Time Masters",1982,78,6800,0,0,4368,67303
"Hammett",1982,97,3900,61.0,0,0,42914
"Cane River",1982,104,359,80.0,0,0,27317
"Kamikaze 89",1982,106,865,0,0,5613,22440
"The Atomic Cafe",1982,86,4700,0,300000,4098,22293
"Veronika Voss",1982,104,8000,0,2600000,11623,8148
"Losing Ground",1982,86,970,0,0,1006,1006
"Fitzcarraldo",1982,158,40000,0,14000000,0,4475
"The Slumber Party Massacre",1982,77,20000,51.0,250000,0,0
"Forbidden World",1982,77,6900,41.0,1000000,0,0
"Class of 1984",1982,98,14000,49.0,3000000,0,0
"Swamp Thing",1982,91,18000,50.0,3000000,0,0
"Tenebrae",1982,101,29000,83.0,0,0,2301
"Basket Case",1982,91,23000,77.0,35000,0,0
"Piranha II: The Spawning",1982,94,10000,15.0,145786,0,0
"Liquid Sky",1982,112,7200,66.0,500000,0,0
"Parasite",1982,85,3200,0,800000,0,2270
"Eating Raoul",1982,90,9500,69.0,350000,0,0
"Frances",1982,140,8900,48.0,0,11624,0
"Alone in the Dark",1982,92,7400,63.0,1000000,0,0
"Smithereens",1982,93,2900,72.0,105000,0,0
"Wild Style",1982,82,3100,63.0,0,0,4948
"Chan Is Missing",1982,76,2000,85.0,20000,0,0
"Starstruck",1982,105,1300,0,2500000,0,691
"We of the Never Never",1982,134,488,0,3200000,0,13
"BrainWaves",1982,77,554,0,500000,0,3111
"Bad Boys for Life",2020,124,190000,59.0,90000000,62504105,426505244
"A Quiet Place Part II",2020,97,302000,71.0,61000000,47547231,297372261
"Sonic the Hedgehog",2020,99,179000,47.0,85000000,58018348,319715683
"Birds of Prey and the Fantabulous Emancipation of One Harley Quinn",2020,109,273000,60.0,84500000,33010017,205537933
"Dolittle",2020,101,74000,26.0,175000000,21844045,251410631
"The Invisible Man",2020,124,270000,72.0,7000000,28205665,144492724
"The Call of the Wild",2020,100,61000,48.0,135000000,24791624,111166669
"Onward",2020,102,178000,61.0,175000000,39119861,141940042
"The Croods: A New Age",2020,95,57000,56.0,65000000,9724200,215905815
"Tenet",2020,150,626000,69.0,205000000,9353090,365304105
"Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train",2020,117,83000,72.0,15000000,21234994,473230408
