year,duration,rating,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
1982,129,6.9,168000,43.0,20000000,9603139,68851475
1982,99,5.5,8100,39.0,0,1798879,39103425
1982,116,5.5,3400,70.0,15000000,4022891,36821203
1982,95,5.6,64000,30.0,2300000,9406522,36696671
1982,82,7.6,4600,0,0,7780693,36299720
1982,96,6.7,133000,58.0,17000000,4761795,33002371
1982,117,8.1,850000,84.0,28000000,6150002,41759489
1982,96,5.5,3600,0,7500000,4206265,30688860
1982,150,7.5,55000,68.0,12000000,202131,30036166
1982,136,7.1,30000,63.0,17000000,2902088,29712172
1982,134,7.6,25000,84.0,0,139634,28229440
1982,85,6.2,59000,48.0,15000000,5329208,27150534
1982,90,7.1,120000,61.0,4500000,2545674,27093151
1982,97,5.8,1800,68.0,0,5631293,23671186
1982,95,8.0,88000,47.0,12000000,0,22274148
1982,90,5.8,3800,40.0,7000000,5906708,21134374
1982,106,6.5,19000,63.0,8100000,2539633,21095638
1982,120,6.8,55000,59.0,8000000,5870889,21031312
1982,102,7.2,10000,63.0,3500000,694126,20708426
1982,108,6.0,3500,45.0,0,1946418,20225989
1982,92,7.3,11000,62.0,7900000,2400696,20123620
1982,109,8.2,494000,57.0,15000000,3107897,20836881
1982,116,7.0,17000,54.0,10000000,2238977,19282134
1982,88,6.8,24000,67.0,9000000,4289601,18196170
1982,98,4.9,8200,10.0,0,823548,16897768
1982,87,5.6,1900,0,0,1071345,16894678
1982,89,6.0,19000,11.0,2000000,0,16100000
1982,101,5.9,2500,0,0,1345672,15782759
1982,115,4.6,40000,52.0,13200000,4645411,15172313
1982,82,7.5,47000,76.0,7000000,386530,14665733
1982,98,5.2,64000,50.0,2500000,6333259,14400000
1982,110,7.0,23000,82.0,5000000,0,14099953
1982,118,6.2,26000,18.0,8000000,2955641,14056528
1982,122,7.7,24000,78.0,9500000,0,14000000
1982,125,6.7,19000,35.0,9000000,3685654,13277558
1982,103,5.7,5100,0,5500000,5250157,13258670
1982,97,6.4,3200,0,5500000,0,13253583
1982,110,6.2,5900,42.0,0,2279260,13111101
1982,104,5.6,14000,34.0,5000000,4104277,12534817
1982,121,5.1,1000,0,0,3631834,12408066
1982,113,6.9,3100,0,0,3015497,11897978
1982,104,5.0,1600,20.0,2000000,0,11378339
1982,91,5.9,11000,50.0,425000,617661,10604986
1982,103,5.4,7100,31.0,4500000,3693117,10490791
1982,115,7.1,24000,65.0,13000000,35000,10278575
1982,84,4.6,2500,0,0,3086525,10054150
1982,110,5.6,3300,0,14000000,3597244,9823934
1982,124,6.8,3100,68.0,12000000,0,9217530
1982,88,6.6,21000,51.0,0,2514478,9077269
1982,96,4.8,12000,43.0,6000000,1341695,9056073
1982,103,6.7,968,0,5600000,2408000,8693512
1982,107,6.5,1600,0,10000000,1547912,8000000
1982,98,5.4,5000,19.0,0,2528133,7983086
1982,98,5.6,4900,42.0,0,1250000,7742572
1982,103,6.4,2600,78.0,0,0,7400000
1982,90,6.2,2800,0,0,1864852,7241180
1982,118,6.2,25000,61.0,18000000,1617636,7000000
1982,108,6.1,1100,0,10500000,2170397,6968359
1982,188,8.1,69000,100.0,6000000,0,6813882
1982,107,5.6,1100,0,9000000,978541,6668025
1982,90,5.5,3600,0,5000000,0,6660333
1982,92,7.3,31000,70.0,3500000,2250000,6457117
1982,88,5.3,1600,0,4000000,0,6328816
1982,108,6.4,7300,66.0,13500000,516014,6118683
1982,117,7.0,22000,61.0,10000000,1690774,6110804
1982,93,5.3,1600,0,6000000,2318801,6062898
1982,93,6.0,6800,43.0,10000000,0,5979947
1982,92,6.3,10000,43.0,0,0,5829781
1982,99,3.7,4400,18.0,20000000,2350021,5675599
1982,128,6.3,3400,71.0,16000000,0,5672311
1982,102,4.9,3100,20.0,3500000,2815503,5588800
1982,92,7.3,2700,0,4500000,0,5516140
1982,120,6.6,4200,52.0,11300000,1500000,5301539
1982,94,6.2,357,0,0,1416713,5124391
1982,90,6.5,4900,0,2000000,1588464,5091888
1982,140,6.4,2900,40.0,13000000,80492,5005245
1982,122,6.6,9800,50.0,2000000,667727,4484991
1982,93,5.1,3200,0,250000,763184,4319001
1982,95,6.5,809,51.0,0,1319050,3821199
1982,87,6.1,1500,0,5000000,819476,3792188
1982,112,7.4,5000,0,0,8682,3723036
1982,117,5.6,2400,50.0,10000000,1412646,3583513
1982,98,6.0,884,0,0,1624381,3355948
1982,108,4.4,831,0,0,662896,3178542
1982,90,3.5,497,0,0,1366535,2914328
1982,103,4.7,1300,0,13400000,1209311,2869638
1982,125,6.4,3900,0,6000000,750259,2666873
1982,80,5.8,1100,0,2000000,1095003,2573342
1982,109,7.8,125000,73.0,20000000,137624,2537298
1982,92,5.4,953,0,3200000,0,2519559
1982,95,4.9,627,0,6000000,1030070,2370376
1982,110,3.8,833,0,19000000,0,2279543
1982,107,7.2,4800,0,0,4414,2257307
1982,108,7.2,12000,0,320000,0,2283233
1982,85,6.0,14000,68.0,300000,604510,2032311
1982,90,6.3,2200,78.0,11000000,285312,1736123
1982,86,8.2,43000,72.0,0,0,1728699
1982,97,5.8,1300,0,7000000,0,1474249
1982,80,5.9,4500,0,2500000,0,1414828
1982,100,5.0,5500,51.0,7000000,437257,1246141
1982,91,6.0,2400,0,0,434884,1054328
1982,105,5.1,939,44.0,17000000,528559,946461
1982,109,7.1,5400,0,850000,0,840958
1982,110,6.3,1200,57.0,8000000,0,263635
1982,108,6.1,1400,46.0,17000000,43891,199078
1982,94,6.1,922,58.0,0,23323,143369
1982,74,7.0,2300,0,0,78350,78350
1982,90,7.0,11000,0,8000000,0,46509
1982,78,7.3,6800,0,0,4368,67303
1982,97,6.4,3900,61.0,0,0,42914
1982,104,6.5,359,80.0,0,0,27317
1982,106,5.8,865,0,0,5613,22440
1982,86,7.6,4700,0,300000,4098,22293
1982,104,7.6,8000,0,2600000,11623,8148
1982,86,6.6,970,0,0,1006,1006
1982,158,8.0,40000,0,14000000,0,4475
1982,77,5.6,20000,51.0,250000,0,0
1982,77,5.1,6900,41.0,1000000,0,0
1982,98,6.5,14000,49.0,3000000,0,0
1982,91,5.3,18000,50.0,3000000,0,0
1982,101,7.0,29000,83.0,0,0,2301
1982,91,6.2,23000,77.0,35000,0,0
1982,94,3.8,10000,15.0,145786,0,0
1982,112,6.0,7200,66.0,500000,0,0
1982,85,4.1,3200,0,800000,0,2270
1982,90,6.8,9500,69.0,350000,0,0
1982,140,7.2,8900,48.0,0,11624,0
1982,92,6.0,7400,63.0,1000000,0,0
1982,93,6.7,2900,72.0,105000,0,0
1982,82,7.0,3100,63.0,0,0,4948
1982,76,7.1,2000,85.0,20000,0,0
1982,105,6.8,1300,0,2500000,0,691
1982,134,7.0,488,0,3200000,0,13
1982,77,4.7,554,0,500000,0,3111
2020,124,6.5,190000,59.0,90000000,62504105,426505244
2020,97,7.2,302000,71.0,61000000,47547231,297372261
2020,99,6.5,179000,47.0,85000000,58018348,319715683
2020,109,6.1,273000,60.0,84500000,33010017,205537933
2020,101,5.6,74000,26.0,175000000,21844045,251410631
2020,124,7.1,270000,72.0,7000000,28205665,144492724
